SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1435.00,1485.30,1429.10,1475.15,1476.00,1421.00,1218,17223,24950530.00,
500003,AEGIS LOGIS ,A ,Q,304.00,306.85,295.25,296.15,295.25,302.45,574,11074,3335627.00,
500008,AMAR RAJA BA,A ,Q,996.00,999.95,966.30,990.05,990.05,983.10,1111,42521,41757960.00,
500009,A.SARABHAI  ,X ,Q,21.80,21.80,20.80,21.35,21.35,21.20,157,46839,993053.00,
500010,HDFC        ,A ,Q,2754.00,2808.75,2737.00,2790.35,2790.35,2758.65,6218,104005,289840680.00,
500012,ANDHRA PETRO,X ,Q,51.50,53.00,50.90,51.40,51.40,51.50,415,77582,4044719.00,
500013,ANSAL INFRAS,B ,Q,7.46,7.46,7.10,7.46,7.46,7.11,145,190808,1422799.00,
500014,UTIQUE      ,X ,Q,1.75,1.83,1.75,1.80,1.80,1.75,20,7145,12902.00,
500016,ARUNAHTEL   ,XT,Q,6.00,6.00,6.00,6.00,6.00,6.30,1,157,942.00,
500020,BOM DYEING  ,A ,Q,73.30,73.85,72.00,72.40,72.40,73.20,654,109788,8007150.00,
500023,ASIANHOTNR  ,B ,Q,71.00,72.00,69.95,72.00,72.00,71.30,66,608,43469.00,
500027,ATUL LTD.   ,A ,Q,6529.95,6877.45,6527.45,6854.65,6854.65,6515.15,1561,5411,36648005.00,
500028,ATV PROJECTS,XT,Q,4.81,5.05,4.81,4.92,4.83,4.94,42,8426,41555.00,
500029,AUTOLITE(I) ,Z ,Q,29.75,29.75,27.70,29.60,29.60,28.35,4,130,3835.00,
500031,BAJAJ ELECT.,A ,Q,1050.00,1078.60,1050.00,1069.25,1069.25,1055.70,3391,50078,53233656.00,
500032,BAJAJHIND   ,A ,Q,6.38,6.40,6.15,6.24,6.24,6.40,662,561090,3526387.00,
500033,FORCE MOTR  ,A ,Q,1405.00,1423.00,1397.00,1405.35,1405.35,1410.50,269,2090,2946967.00,
500034,BAJFINANCE  ,A ,Q,5570.00,5616.00,5533.15,5576.50,5576.50,5566.35,4236,56516,314803797.00,
500038,BALRAM.CHINI,A ,Q,160.00,162.30,157.10,158.30,158.60,158.95,427,33012,5267018.00,
500039,BANCO PROD. ,B ,Q,159.80,162.10,156.00,157.10,156.00,157.60,678,29492,4694343.00,
500040,CENTURY TEXT,A ,Q,456.00,465.90,455.80,459.40,458.75,455.45,410,15015,6914587.00,
500041,BANNARI AMAN,A ,Q,1595.00,1595.00,1570.00,1573.00,1570.00,1628.65,18,30,47454.00,
500042,BASF INDIA  ,A ,Q,1920.05,2045.00,1883.00,1981.65,1963.35,1925.50,3582,20780,40876503.00,
500043,BATA INDIA  ,A ,Q,1532.05,1567.95,1523.05,1527.20,1527.20,1531.50,5274,90684,140406460.00,
500048,BEML LTD    ,A ,Q,970.00,987.95,965.45,972.50,972.00,967.70,844,33689,32921385.00,
500049,BHARAT ELECT,A ,Q,136.70,137.00,134.20,136.25,136.25,135.35,2477,462487,62762511.00,
500052,BHANSALI ENG,A ,Q,142.00,142.00,137.20,138.60,138.60,139.05,2417,231408,32189309.00,
500055,TATASTLBSL  ,B ,Q,44.40,44.40,42.85,42.95,42.95,44.15,1615,404050,17493561.00,
500060,BIRLACABLE  ,B ,Q,65.50,67.10,62.35,63.30,63.30,64.95,359,27420,1761699.00,
500067,BLUE STAR   ,A ,Q,834.00,834.00,811.85,813.75,813.00,826.15,329,2662,2180276.00,
500068,DISA INDIA  ,X ,Q,4056.00,4300.00,4056.00,4239.75,4200.00,3999.25,347,4144,17378240.00,
500069,BNK CAPITAL ,X ,Q,110.00,112.70,110.00,112.50,112.50,110.60,61,8994,1000980.00,
500074,BPL LTD.    ,B ,Q,21.60,21.95,21.15,21.40,21.45,21.70,155,14103,303498.00,
500078,OAL         ,B ,Q,601.00,645.35,601.00,628.40,631.90,594.30,763,8732,5491740.00,
500083,CENTURY EXT ,B ,Q,5.00,5.00,4.65,4.71,4.71,4.76,100,15294,71925.00,
500084,CESC LTD.   ,A ,Q,625.65,625.85,619.00,621.10,620.00,620.65,345,8226,5116224.00,
500085,CHAMBAL FERT,A ,Q,246.85,248.95,239.25,241.95,241.95,242.85,2226,101785,24839739.00,
500086,EXIDE IND.  ,A ,Q,212.35,214.15,209.95,211.50,211.50,212.35,3633,209752,44475615.00,
500087,CIPLA LTD.  ,A ,Q,859.80,864.15,845.50,849.30,850.55,859.80,2556,142279,121517259.00,
500089,DIC INDIA   ,B ,Q,395.70,399.90,394.60,398.45,395.00,398.50,143,4026,1597887.00,
500092,CRISIL LTD  ,A ,Q,1939.55,1982.05,1925.30,1946.15,1946.15,1900.20,699,4518,8826161.00,
500093,CGPOWER     ,B ,Q,46.20,46.75,44.50,44.70,44.70,45.80,528,201335,9130040.00,
500096,DABUR (I)   ,A ,Q,542.00,544.50,532.00,534.05,534.05,535.75,2089,103258,55561509.00,
500097,DALMIASUG   ,A ,Q,140.05,142.70,140.05,141.95,141.95,141.10,222,9876,1401469.00,
500101,ARVIND Ltd  ,A ,Q,66.50,73.50,66.50,71.95,71.95,66.20,3804,968656,66567852.00,
500102,BALARPUR IND,Z ,Q,1.32,1.32,1.26,1.28,1.28,1.28,265,1027743,1313744.00,
500103,BHEL        ,A ,Q,39.10,39.45,38.60,38.80,38.80,38.75,2941,2002251,78129550.00,
500104,HIND.PETRO  ,A ,Q,228.00,229.20,222.20,223.70,223.70,227.25,3079,336442,75859984.00,
500106,IFCI LTD    ,A ,Q,9.20,9.26,8.94,9.01,9.01,9.03,26246,897825,8169511.00,
500108,MAHA.TELE   ,B ,Q,13.00,13.13,12.83,12.86,12.86,12.97,4655,193498,2504958.00,
500109,MRPL        ,A ,Q,35.50,35.50,34.70,34.85,34.90,35.20,294,61383,2155908.00,
500110,CHENNAI PET.,A ,Q,96.65,97.20,95.00,95.30,95.00,96.50,291,37806,3619730.00,
500111,REL.CAP.    ,B ,Q,10.25,10.31,9.91,10.09,10.09,10.10,785,487164,4902630.00,
500112,STATE BANK  ,A ,Q,390.90,399.35,385.60,393.20,393.20,390.15,23901,2893519,1135043740.00,
500113,STEEL AUTH. ,A ,Q,66.95,67.20,64.40,64.80,64.80,66.90,3211,1572661,103127995.00,
500114,TITAN       ,A ,Q,1530.55,1535.00,1491.00,1494.35,1494.35,1524.15,5958,158876,239800138.00,
500116,IDBI BANK L ,A ,Q,29.70,29.85,28.80,29.00,29.00,29.65,1430,944507,27586283.00,
500117,DCW LTD.    ,B ,Q,21.25,21.25,20.45,20.70,20.70,21.25,184,68942,1440405.00,
500119,DHAMPUR SUGA,A ,Q,166.90,167.40,165.00,166.00,166.00,167.15,298,11994,1994271.00,
